,DATE,PRCP,TAVG,QHSJ,count
20182,2007-01-02,4.9,4.5,01/02/2007,2.0
20183,2007-01-03,0.5,4.0,01/03/2007,3.0
20184,2007-01-04,0.0,3.7,01/04/2007,1.0
20185,2007-01-05,0.0,4.0,01/05/2007,1.0
20186,2007-01-06,0.0,2.8,01/06/2007,6.0
20187,2007-01-07,0.0,1.6,01/07/2007,1.0
20188,2007-01-08,0.0,0.2,01/08/2007,2.0
20189,2007-01-09,0.0,0.6,01/09/2007,2.0
20190,2007-01-10,0.0,2.8,01/10/2007,2.0
20191,2007-01-11,0.0,6.2,0,0.0
20192,2007-01-12,3.6,4.0,01/12/2007,3.0
20193,2007-01-13,0.0,2.5,01/13/2007,2.0
20194,2007-01-14,0.3,1.8,01/14/2007,3.0
20195,2007-01-15,3.3,3.6,0,0.0
20196,2007-01-16,0.6,4.4,01/16/2007,1.0
20197,2007-01-17,0.0,3.4,01/17/2007,3.0
20198,2007-01-18,0.0,3.3,01/18/2007,3.0
20199,2007-01-19,0.0,3.5,01/19/2007,2.0
20200,2007-01-20,0.0,4.4,01/20/2007,3.0
20201,2007-01-21,0.0,7.6,01/21/2007,1.0
20202,2007-01-22,0.0,4.5,01/22/2007,1.0
20203,2007-01-23,0.2,3.8,01/23/2007,4.0
20204,2007-01-24,0.0,3.1,01/24/2007,1.0
20205,2007-01-25,0.0,2.5,01/25/2007,1.0
20206,2007-01-26,0.0,3.8,01/26/2007,1.0
20207,2007-01-27,0.0,3.1,01/27/2007,3.0
20208,2007-01-28,0.0,2.9,01/28/2007,5.0
20209,2007-01-29,0.0,3.9,01/29/2007,2.0
20210,2007-01-30,0.0,5.6,01/30/2007,6.0
20211,2007-01-31,0.0,5.3,01/31/2007,5.0
20212,2007-02-01,0.0,2.8,02/01/2007,3.0
20213,2007-02-02,0.0,2.8,02/02/2007,3.0
20214,2007-02-03,0.0,5.4,02/03/2007,4.0
20215,2007-02-04,0.0,8.1,02/04/2007,8.0
20216,2007-02-05,0.0,11.0,02/05/2007,3.0
20217,2007-02-06,0.0,12.3,02/06/2007,5.0
20218,2007-02-07,0.0,12.0,02/07/2007,1.0
20219,2007-02-08,9.2,9.4,0,0.0
20220,2007-02-09,0.9,8.5,02/09/2007,7.0
20221,2007-02-10,0.0,8.2,02/10/2007,3.0
20222,2007-02-11,0.0,5.4,02/11/2007,4.0
20223,2007-02-12,0.0,10.9,02/12/2007,3.0
20224,2007-02-13,5.8,11.8,02/13/2007,1.0
20225,2007-02-14,0.8,7.9,02/14/2007,1.0
20226,2007-02-15,2.2,4.9,02/15/2007,3.0
20227,2007-02-16,14.5,7.6,02/16/2007,3.0
20228,2007-02-17,0.3,7.7,0,0.0
20229,2007-02-18,0.7,7.6,02/18/2007,5.0
20230,2007-02-19,0.0,8.3,02/19/2007,3.0
20231,2007-02-20,0.0,8.7,02/20/2007,2.0
20232,2007-02-21,0.0,9.4,02/21/2007,1.0
20233,2007-02-22,0.2,12.3,02/22/2007,6.0
20234,2007-02-23,0.0,11.1,02/23/2007,1.0
20235,2007-02-24,0.0,9.0,02/24/2007,3.0
20236,2007-02-25,0.0,9.6,02/25/2007,3.0
20237,2007-02-26,0.0,10.5,02/26/2007,1.0
20238,2007-02-27,0.0,11.9,02/27/2007,2.0
20239,2007-02-28,6.5,11.4,02/28/2007,1.0
20240,2007-03-01,9.6,14.4,0,0.0
20241,2007-03-02,0.2,14.7,0,0.0
20242,2007-03-03,0.3,16.2,03/03/2007,1.0
20243,2007-03-04,31.4,11.1,03/04/2007,2.0
20244,2007-03-05,0.0,4.9,03/05/2007,1.0
20245,2007-03-06,0.0,2.1,0,0.0
20246,2007-03-07,0.0,4.0,03/07/2007,1.0
20247,2007-03-08,0.0,5.4,03/08/2007,2.0
20248,2007-03-09,0.0,8.5,03/09/2007,2.0
20249,2007-03-10,0.0,9.0,03/10/2007,1.0
20250,2007-03-11,0.0,6.1,03/11/2007,5.0
20251,2007-03-12,0.0,8.0,03/12/2007,3.0
20252,2007-03-13,0.0,11.7,0,0.0
20253,2007-03-14,5.1,10.1,03/14/2007,2.0
20254,2007-03-15,6.9,9.2,0,0.0
20255,2007-03-16,18.6,7.4,03/16/2007,2.0
20256,2007-03-17,0.0,8.5,03/17/2007,3.0
20257,2007-03-18,0.0,7.7,03/18/2007,5.0
20258,2007-03-19,0.0,8.4,0,0.0
20259,2007-03-20,0.0,8.6,0,0.0
20260,2007-03-21,0.0,10.3,03/21/2007,1.0
20261,2007-03-22,0.0,12.9,0,0.0
20262,2007-03-23,15.4,15.3,0,0.0
20263,2007-03-24,0.4,16.1,0,0.0
20264,2007-03-25,0.0,15.9,03/25/2007,1.0
20265,2007-03-26,0.2,16.7,03/26/2007,1.0
20266,2007-03-27,0.1,18.6,03/27/2007,1.0
20267,2007-03-28,0.0,20.0,03/28/2007,2.0
20268,2007-03-29,0.0,20.4,03/29/2007,2.0
20269,2007-03-30,0.0,21.0,0,0.0
20270,2007-03-31,1.5,18.5,03/31/2007,2.0
20271,2007-04-01,16.6,11.8,04/01/2007,3.0
20272,2007-04-02,0.0,12.2,04/02/2007,1.0
20273,2007-04-03,0.0,10.8,04/03/2007,2.0
20274,2007-04-04,0.0,13.0,04/04/2007,4.0
20275,2007-04-05,0.0,13.3,04/05/2007,2.0
20276,2007-04-06,0.0,13.9,04/06/2007,3.0
20277,2007-04-07,0.0,15.9,04/07/2007,1.0
20278,2007-04-08,0.0,15.7,04/08/2007,2.0
20279,2007-04-09,0.0,15.0,04/09/2007,2.0
20280,2007-04-10,0.0,16.9,04/10/2007,2.0
20281,2007-04-11,0.0,18.3,04/11/2007,3.0
20282,2007-04-12,0.0,21.0,04/12/2007,4.0
20283,2007-04-13,0.0,20.1,04/13/2007,1.0
20284,2007-04-14,0.3,16.3,04/14/2007,2.0
20285,2007-04-15,1.0,17.7,04/15/2007,1.0
20286,2007-04-16,0.0,14.5,04/16/2007,1.0
20287,2007-04-17,4.3,10.7,04/17/2007,2.0
20288,2007-04-18,0.0,11.6,04/18/2007,2.0
20289,2007-04-19,0.0,17.7,04/19/2007,1.0
20290,2007-04-20,0.0,21.9,0,0.0
20291,2007-04-21,0.0,24.0,04/21/2007,1.0
20292,2007-04-22,16.0,16.8,04/22/2007,2.0
20293,2007-04-23,0.0,14.3,0,0.0
20294,2007-04-24,0.0,16.5,04/24/2007,4.0
20295,2007-04-25,0.0,19.3,04/25/2007,3.0
20296,2007-04-26,0.0,19.9,04/26/2007,2.0
20297,2007-04-27,0.0,21.1,0,0.0
20298,2007-04-28,0.0,20.0,04/28/2007,2.0
20299,2007-04-29,3.7,17.1,04/29/2007,3.0
20300,2007-04-30,8.7,16.9,04/30/2007,3.0
